player_name,team_abbreviation,age,player_height,player_weight,college,country
Ed Pinckney,MIA,34,205.74,108.86208,Villanova,USA
Chris Jent,NYK,27,200.66,99.79024,Ohio State,USA
Chris Mills,CLE,27,200.66,97.975872,Arizona,USA
Chris Morris,UTA,31,203.2,99.79024,Auburn,USA
Chris Mullin,GSW,33,200.66,97.52228,St. John's (NY),USA
Chris Robinson,VAN,23,195.58,90.7184,Western Kentucky,USA
Chris Webber,WAS,24,208.28,111.13004,Michigan,USA
Chris Whitney,WAS,25,182.88,77.11064,Clemson,USA
Christian Laettner,ATL,27,210.82,111.13004,Duke,USA
Chucky Brown,MIL,29,203.2,97.52228,North Carolina State,USA
Chris Gatling,NJN,29,208.28,104.32616,Old Dominion,USA
Clar. Weatherspoon,PHI,26,200.66,108.86208,Southern Mississippi,USA
Clifford Rozier,TOR,24,210.82,104.32616,Louisville,USA
Clyde Drexler,HOU,35,200.66,100.697424,Houston,USA
Corie Blount,LAL,28,208.28,109.769264,Cincinnati,USA
Corliss Williamson,SAC,23,200.66,111.13004,Arkansas,USA
Cory Alexander,SAS,24,185.42,86.18248,Virginia,USA
Craig Ehlo,SEA,35,198.12,81.64656,Washington State,USA
Cuonzo Martin,MIL,25,195.58,96.615096,Purdue,USA
Dale Davis,IND,28,210.82,104.32616,Clemson,USA
Dale Ellis,DEN,36,200.66,97.52228,Tennessee,USA
Clifford Robinson,POR,30,208.28,102.0582,Connecticut,USA
Chris Dudley,POR,32,210.82,108.86208,Yale,USA
Chris Childs,NYK,29,190.5,88.45044,Boise State,USA
Chris Carr,MIN,23,198.12,99.79024,Southern Illinois,USA
Brian Evans,ORL,23,203.2,99.79024,Indiana,USA
Brian Grant,SAC,25,205.74,115.212368,Xavier,USA
Brian Shaw,ORL,31,198.12,90.7184,California-Santa Barbara,USA
Brooks Thompson,DEN,26,193.04,87.543256,Oklahoma State,USA
Bruce Bowen,MIA,26,200.66,90.7184,Cal State-Fullerton,USA
Bryant Reeves,VAN,24,213.36,124.7378,Oklahoma State,USA
Bryant Stith,DEN,26,195.58,94.347136,Virginia,USA
Bryon Russell,UTA,26,200.66,102.0582,Long Beach State,USA
Buck Williams,NYK,37,203.2,102.0582,Maryland,USA
Byron Scott,LAL,36,193.04,92.98636,Arizona State,USA
Calbert Cheaney,WAS,25,200.66,97.52228,Indiana,USA
Carl Herrera,SAS,30,205.74,102.0582,Houston,USA
Carl Thomas,CLE,27,193.04,79.3786,Eastern Michigan,USA
Carlos Rogers,TOR,26,210.82,99.79024,Tennessee State,USA
Cedric Ceballos,PHX,27,200.66,102.0582,Cal State-Fullerton,USA
Charles Barkley,HOU,34,198.12,114.305184,Auburn,USA
Charles Jones,HOU,40,205.74,97.52228,Albany State (GA),USA
Charles Oakley,NYK,33,205.74,111.13004,Virginia Union,USA
Charles Smith,SAS,31,208.28,110.676448,Pittsburgh,USA
Charlie Ward,NYK,26,187.96,86.18248,Florida State,USA
Cherokee Parks,MIN,24,210.82,108.86208,Duke,USA
Damon Stoudamire,TOR,23,177.8,77.564232,Arizona,USA
Dan Majerle,MIA,31,198.12,99.79024,Central Michigan,USA
Dan Schayes,ORL,38,210.82,117.93392,Syracuse,USA
Dana Barros,BOS,30,180.34,73.935496,Boston College,USA
Dexter Boney,PHX,27,193.04,83.91452,Nevada-Las Vegas,USA
Dickey Simpkins,CHI,25,205.74,112.490816,Providence,USA
Dikembe Mutombo,ATL,31,218.44,113.398,Georgetown,Congo
Dino Radja,BOS,30,210.82,102.0582,None,USA
Dominique Wilkins,SAS,37,203.2,104.32616,Georgia,USA
Don MacLean,PHI,27,208.28,106.59412,UCLA,USA
Don Reid,DET,23,203.2,113.398,Georgetown,USA
Donald Royal,CHH,31,203.2,98.883056,Notre Dame,USA
Donald Whiteside,TOR,28,177.8,72.57472,Northern Illinois,USA
Donnie Boyce,ATL,23,195.58,88.904032,Colorado,USA
Donny Marshall,CLE,24,200.66,104.32616,Connecticut,USA
Dontonio Wingfield,POR,23,203.2,116.119552,Cincinnati,USA
Donyell Marshall,GSW,24,205.74,104.32616,Connecticut,USA
Doug Christie,TOR,27,198.12,92.98636,Pepperdine,USA
Doug Overton,PHI,27,190.5,86.18248,La Salle,USA
Doug West,MIN,30,198.12,99.79024,Villanova,USA
Duane Causwell,SAC,29,213.36,108.86208,Temple,USA
Duane Ferrell,IND,32,200.66,97.52228,Georgia Tech,USA
Dwayne Schintzius,LAC,28,215.9,117.93392,Florida,USA
Earl Cureton,TOR,39,205.74,95.25432,Detroit Mercy,USA
Ed O'Bannon,DAL,24,203.2,100.697424,UCLA,USA
Devin Gray,SAS,25,200.66,108.86208,Clemson,USA
Jud Buechler,CHI,29,198.12,103.418976,Arizona,USA
Detlef Schrempf,SEA,34,208.28,106.59412,Washington,USA
Derrick Coleman,PHI,30,208.28,117.93392,Syracuse,USA
Danny Ferry,CLE,30,208.28,106.59412,Duke,USA
Danny Manning,PHX,31,208.28,106.140528,Kansas,USA
Darrell Armstrong,ORL,29,185.42,81.64656,Fayetteville State,USA
Darrick Martin,LAC,26,180.34,77.11064,UCLA,USA
